"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
NA,153,NA,NA,NA,NA,NA,NA,NA,NA
NA,153,NA,NA,NA,NA,NA,NA,NA,NA
NA,153,NA,NA,NA,NA,NA,NA,NA,NA
NA,153,NA,NA,NA,NA,NA,NA,NA,NA
NA,153,NA,NA,NA,NA,NA,NA,NA,NA
NA,153,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,150,130,181,185,177,NA,NA,NA
NA,NA,150,130,181,185,177,NA,NA,NA
NA,NA,150,130,181,185,177,NA,NA,NA
NA,NA,NA,NA,181,185,177,NA,NA,NA
NA,NA,NA,NA,181,185,177,NA,NA,NA
NA,NA,NA,NA,181,NA,177,NA,NA,NA
NA,NA,NA,NA,181,NA,177,NA,NA,NA
NA,NA,150,130,181,185,177,NA,NA,NA
NA,NA,NA,NA,181,NA,177,NA,NA,NA
NA,NA,NA,NA,181,NA,177,NA,NA,NA
NA,NA,150,130,181,185,177,NA,NA,NA
NA,NA,150,130,181,185,177,NA,NA,NA
NA,NA,150,130,181,185,177,NA,NA,NA
NA,NA,150,130,181,185,177,NA,NA,NA
NA,NA,150,130,181,185,177,NA,NA,NA
NA,NA,150,130,181,185,177,NA,NA,NA
NA,NA,NA,130,181,185,177,NA,NA,NA
NA,NA,NA,130,181,185,177,NA,NA,NA
NA,NA,150,130,181,185,177,NA,NA,NA
NA,NA,NA,130,181,185,177,NA,NA,NA
153,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,NA,NA,NA,NA,NA,169,NA,NA,141
153,NA,NA,NA,NA,NA,169,133,NA,141
153,NA,NA,NA,NA,NA,169,133,NA,141
153,NA,NA,NA,NA,NA,169,133,NA,141
153,NA,NA,NA,NA,NA,169,133,NA,141
153,NA,NA,NA,NA,NA,169,133,NA,141
153,NA,NA,NA,NA,NA,169,133,NA,141
153,NA,NA,NA,NA,NA,169,133,NA,141
153,NA,NA,NA,NA,NA,169,133,NA,141
153,NA,NA,NA,NA,NA,169,133,NA,141
153,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,NA,NA,NA,NA,NA,169,133,NA,141
153,NA,NA,NA,NA,NA,169,133,NA,141
153,NA,NA,NA,NA,NA,169,NA,NA,NA
153,NA,NA,NA,NA,NA,169,NA,NA,NA
167,152,134,142,171,NA,NA,NA,NA,NA
167,152,134,142,NA,NA,NA,NA,NA,NA
167,152,134,142,NA,NA,NA,NA,NA,NA
167,152,134,142,171,NA,NA,NA,NA,NA
167,152,134,NA,NA,NA,NA,NA,NA,NA
167,152,134,142,171,NA,NA,NA,NA,NA
167,152,134,142,171,NA,NA,NA,NA,NA
167,152,134,142,171,NA,NA,NA,NA,NA
167,152,134,142,171,NA,NA,NA,NA,NA
167,152,134,142,171,NA,NA,NA,NA,NA
167,152,134,142,171,NA,NA,NA,NA,NA
167,152,134,142,171,NA,NA,NA,NA,NA
167,152,134,142,171,NA,NA,NA,NA,NA
167,152,134,142,171,NA,NA,NA,NA,NA
167,152,134,142,171,NA,NA,NA,NA,NA
167,152,134,142,171,NA,NA,NA,NA,NA
167,152,134,142,171,NA,NA,NA,NA,NA
167,152,134,142,171,NA,NA,NA,NA,NA
167,152,134,142,171,NA,NA,NA,NA,NA
167,152,134,142,171,NA,NA,NA,NA,NA
141,153,NA,NA,147,NA,NA,NA,NA,156
141,153,NA,NA,147,159,153,141,146,156
141,153,NA,NA,NA,159,NA,NA,NA,NA
141,153,NA,NA,147,159,153,141,146,156
141,153,NA,NA,147,159,153,141,146,156
141,153,NA,NA,147,159,153,141,146,156
141,153,NA,NA,147,159,153,141,146,156
141,153,NA,NA,147,159,153,141,146,156
141,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,153,NA,NA,147,159,153,141,146,156
141,153,NA,NA,147,159,153,141,146,156
141,153,NA,NA,147,159,153,141,146,156
141,153,NA,NA,137,159,153,141,146,156
141,153,NA,NA,NA,NA,NA,NA,146,NA
141,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,153,NA,NA,147,159,153,141,146,156
141,153,NA,NA,NA,NA,NA,NA,NA,NA
141,153,NA,NA,NA,159,NA,NA,146,NA
141,153,NA,NA,147,159,153,141,146,156
141,NA,NA,NA,147,NA,NA,NA,146,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,183
NA,NA,NA,NA,NA,NA,NA,NA,NA,183
NA,NA,NA,NA,NA,NA,NA,NA,NA,183
NA,NA,NA,NA,NA,NA,NA,NA,NA,183
NA,NA,NA,NA,NA,NA,NA,NA,NA,183
NA,NA,NA,NA,NA,NA,NA,NA,NA,183
NA,NA,NA,NA,NA,NA,NA,NA,NA,183
NA,NA,NA,NA,NA,NA,NA,NA,NA,183
NA,NA,NA,NA,NA,NA,NA,NA,NA,183
NA,NA,NA,NA,NA,NA,NA,NA,NA,183
NA,NA,NA,NA,NA,NA,NA,NA,NA,183
NA,NA,NA,NA,NA,NA,NA,NA,NA,183
NA,NA,NA,NA,NA,NA,NA,NA,NA,183
NA,NA,NA,NA,NA,NA,NA,NA,NA,183
